date,commod_sub,place,priceF_m_baht_100p,priceF_m_baht_kg,priceF_m_baht_ton,commod_gr,commod
1989-01-31,ข้าวหอมมะลิ,ประเทศ,,4.237,4237.0,พืชไร่,ข้าว
1989-01-31,ข้าวเจ้าอื่น,ประเทศ,,3.939,3939.0,พืชไร่,ข้าว
1989-01-31,ข้าวเหนียว,ประเทศ,,3.317,3317.0,พืชไร่,ข้าว
1989-01-31,ข้าวนาปี,ประเทศ,,3.657,3657.0,พืชไร่,ข้าว
1989-01-31,ข้าวโพดเลี้ยงสัตว์,ประเทศ,,2.82,2820.0,พืชไร่,ข้าวโพดเลี้ยงสัตว์
1989-01-31,มันสำปะหลัง,ประเทศ,,0.58,580.0,พืชไร่,มันสำปะหลัง
1989-01-31,สับปะรดโรงงาน,ประเทศ,,0.8,800.0,พืชไร่,สับปะรดโรงงาน
1989-01-31,มะพร้าว,ประเทศ,378.0,3.024,3024.0,พืชยืนต้น,มะพร้าว
1989-01-31,ยางพารา,ประเทศ,,19.17,19170.0,พืชยืนต้น,ยางพารา
1989-01-31,กาแฟ,ประเทศ,,29.17,29170.0,พืชยืนต้น,กาแฟ
1989-01-31,กระเทียม,ประเทศ,,10.71,10710.0,พืชผัก,กระเทียม
1989-01-31,หอมแดง,ประเทศ,,3.68,3680.0,พืชผัก,หอมแดง
1989-01-31,หอมหัวใหญ่,ประเทศ,,4.63,4630.0,พืชผัก,หอมหัวใหญ่
1989-01-31,สุกร,ประเทศ,,25.39,25390.0,ปศุสัตว์,สุกร
1989-01-31,ไก่เนื้อ,ประเทศ,,20.94,20940.0,ปศุสัตว์,ไก่เนื้อ
1989-01-31,ไข่ไก่,ประเทศ,117.0,0.936,936.0,ปศุสัตว์,ไข่ไก่
1989-02-28,ข้าวหอมมะลิ,ประเทศ,,4.331,4331.0,พืชไร่,ข้าว
1989-02-28,ข้าวเจ้าอื่น,ประเทศ,,4.056,4056.0,พืชไร่,ข้าว
1989-02-28,ข้าวเหนียว,ประเทศ,,3.385,3385.0,พืชไร่,ข้าว
1989-02-28,ข้าวนาปี,ประเทศ,,3.739,3739.0,พืชไร่,ข้าว
1989-02-28,ข้าวโพดเลี้ยงสัตว์,ประเทศ,,2.85,2850.0,พืชไร่,ข้าวโพดเลี้ยงสัตว์
1989-02-28,มันสำปะหลัง,ประเทศ,,0.56,560.0,พืชไร่,มันสำปะหลัง
1989-02-28,สับปะรดโรงงาน,ประเทศ,,1.08,1080.0,พืชไร่,สับปะรดโรงงาน
1989-02-28,มะพร้าว,ประเทศ,368.0,2.944,2944.0,พืชยืนต้น,มะพร้าว
1989-02-28,ยางพารา,ประเทศ,,20.15,20150.0,พืชยืนต้น,ยางพารา
1989-02-28,กาแฟ,ประเทศ,,25.62,25620.0,พืชยืนต้น,กาแฟ
1989-02-28,กระเทียม,ประเทศ,,9.14,9140.0,พืชผัก,กระเทียม
1989-02-28,หอมแดง,ประเทศ,,2.39,2390.0,พืชผัก,หอมแดง
1989-02-28,หอมหัวใหญ่,ประเทศ,,3.88,3880.0,พืชผัก,หอมหัวใหญ่
1989-02-28,สุกร,ประเทศ,,25.21,25210.0,ปศุสัตว์,สุกร
1989-02-28,ไก่เนื้อ,ประเทศ,,21.44,21440.0,ปศุสัตว์,ไก่เนื้อ
1989-02-28,ไข่ไก่,ประเทศ,119.0,0.952,952.0,ปศุสัตว์,ไข่ไก่
1989-03-31,ข้าวหอมมะลิ,ประเทศ,,4.42,4420.0,พืชไร่,ข้าว
1989-03-31,ข้าวเจ้าอื่น,ประเทศ,,4.135,4135.0,พืชไร่,ข้าว
1989-03-31,ข้าวเหนียว,ประเทศ,,3.37,3370.0,พืชไร่,ข้าว
1989-03-31,ข้าวนาปี,ประเทศ,,3.79,3790.0,พืชไร่,ข้าว
1989-03-31,ข้าวโพดเลี้ยงสัตว์,ประเทศ,,2.87,2870.0,พืชไร่,ข้าวโพดเลี้ยงสัตว์
1989-03-31,มันสำปะหลัง,ประเทศ,,0.54,540.0,พืชไร่,มันสำปะหลัง
1989-03-31,สับปะรดโรงงาน,ประเทศ,,0.9,900.0,พืชไร่,สับปะรดโรงงาน
1989-03-31,มะพร้าว,ประเทศ,336.0,2.688,2688.0,พืชยืนต้น,มะพร้าว
1989-03-31,ยางพารา,ประเทศ,,19.45,19450.0,พืชยืนต้น,ยางพารา
1989-03-31,กาแฟ,ประเทศ,,21.96,21960.0,พืชยืนต้น,กาแฟ
1989-03-31,กระเทียม,ประเทศ,,6.48,6480.0,พืชผัก,กระเทียม
1989-03-31,หอมแดง,ประเทศ,,3.89,3890.0,พืชผัก,หอมแดง
