date,commod_sub,place,priceF_w_baht_100p,priceF_w_baht_kg,priceF_w_baht_ton,commod_gr,commod
2018-01-05,ข้าวหอมมะลิ,ประเทศ,,12.31,12310.0,พืชไร่,ข้าว
2018-01-05,ข้าวปทุมธานี,ประเทศ,,9.268,9268.0,พืชไร่,ข้าว
2018-01-05,ข้าวเจ้าอื่น,ประเทศ,,8.029390000000001,8029.39,พืชไร่,ข้าว
2018-01-05,ข้าวเหนียว,ประเทศ,,9.092469999999999,9092.47,พืชไร่,ข้าว
2018-01-05,ข้าวโพดเลี้ยงสัตว์,ประเทศ,,8.13,8130.000000000001,พืชไร่,ข้าวโพดเลี้ยงสัตว์
2018-01-05,มันสำปะหลัง,ประเทศ,,1.96,1960.0,พืชไร่,มันสำปะหลัง
2018-01-05,สับปะรดโรงงาน,ประเทศ,,3.03,3030.0,พืชไร่,สับปะรดโรงงาน
2018-01-05,ปาล์มน้ำมัน,ประเทศ,,2.93,2930.0,พืชยืนต้น,ปาล์มน้ำมัน
2018-01-05,มะพร้าว,ประเทศ,1613.83,12.910639999999999,12910.64,พืชยืนต้น,มะพร้าว
2018-01-05,ยางพารา,ประเทศ,,41.96,41960.0,พืชยืนต้น,ยางพารา
2018-01-05,กาแฟ,ประเทศ,,71.0,71000.0,พืชยืนต้น,กาแฟ
2018-01-05,ลำไย,ประเทศ,,28.68,28680.0,ไม้ผล,ลำไย
2018-01-05,หอมแดง,ประเทศ,,20.0,20000.0,พืชผัก,หอมแดง
2018-01-05,สุกร,ประเทศ,,48.21,48210.0,ปศุสัตว์,สุกร
2018-01-05,ไก่เนื้อ,ประเทศ,,38.55,38550.0,ปศุสัตว์,ไก่เนื้อ
2018-01-05,ไข่ไก่,ประเทศ,252.04,2.01632,2016.32,ปศุสัตว์,ไข่ไก่
2018-01-05,กุ้ง,ประเทศ,,174.04,174040.0,ประมง,กุ้ง
2018-01-12,ข้าวหอมมะลิ,ประเทศ,,13.49901,13499.01,พืชไร่,ข้าว
2018-01-12,ข้าวปทุมธานี,ประเทศ,,9.246879999999999,9246.88,พืชไร่,ข้าว
2018-01-12,ข้าวเจ้าอื่น,ประเทศ,,7.71308,7713.08,พืชไร่,ข้าว
2018-01-12,ข้าวเหนียว,ประเทศ,,9.5,9500.0,พืชไร่,ข้าว
2018-01-12,ข้าวโพดเลี้ยงสัตว์,ประเทศ,,7.88,7880.0,พืชไร่,ข้าวโพดเลี้ยงสัตว์
2018-01-12,มันสำปะหลัง,ประเทศ,,1.99,1990.0,พืชไร่,มันสำปะหลัง
2018-01-12,สับปะรดโรงงาน,ประเทศ,,3.15,3150.0,พืชไร่,สับปะรดโรงงาน
2018-01-12,ปาล์มน้ำมัน,ประเทศ,,2.89,2890.0,พืชยืนต้น,ปาล์มน้ำมัน
2018-01-12,มะพร้าว,ประเทศ,1591.79,12.73432,12734.32,พืชยืนต้น,มะพร้าว
2018-01-12,ยางพารา,ประเทศ,,42.76,42760.0,พืชยืนต้น,ยางพารา
2018-01-12,กาแฟ,ประเทศ,,70.0,70000.0,พืชยืนต้น,กาแฟ
2018-01-12,ลำไย,ประเทศ,,29.5,29500.0,ไม้ผล,ลำไย
2018-01-12,หอมแดง,ประเทศ,,15.0,15000.0,พืชผัก,หอมแดง
2018-01-12,สุกร,ประเทศ,,48.43,48430.0,ปศุสัตว์,สุกร
2018-01-12,ไก่เนื้อ,ประเทศ,,38.76,38760.0,ปศุสัตว์,ไก่เนื้อ
2018-01-12,ไข่ไก่,ประเทศ,253.63,2.02904,2029.0400000000002,ปศุสัตว์,ไข่ไก่
2018-01-12,กุ้ง,ประเทศ,,179.61,179610.0,ประมง,กุ้ง
2018-01-19,ข้าวหอมมะลิ,ประเทศ,,13.6746,13674.6,พืชไร่,ข้าว
2018-01-19,ข้าวปทุมธานี,ประเทศ,,9.65331,9653.31,พืชไร่,ข้าว
2018-01-19,ข้าวเจ้าอื่น,ประเทศ,,7.81513,7815.13,พืชไร่,ข้าว
2018-01-19,ข้าวเหนียว,ประเทศ,,9.5,9500.0,พืชไร่,ข้าว
2018-01-19,ข้าวโพดเลี้ยงสัตว์,ประเทศ,,8.03,8029.999999999999,พืชไร่,ข้าวโพดเลี้ยงสัตว์
2018-01-19,มันสำปะหลัง,ประเทศ,,2.04,2040.0,พืชไร่,มันสำปะหลัง
2018-01-19,สับปะรดโรงงาน,ประเทศ,,3.43,3430.0,พืชไร่,สับปะรดโรงงาน
2018-01-19,ปาล์มน้ำมัน,ประเทศ,,2.98,2980.0,พืชยืนต้น,ปาล์มน้ำมัน
2018-01-19,มะพร้าว,ประเทศ,1590.2,12.7216,12721.6,พืชยืนต้น,มะพร้าว
2018-01-19,ยางพารา,ประเทศ,,43.59,43590.0,พืชยืนต้น,ยางพารา
2018-01-19,กาแฟ,ประเทศ,,72.3,72300.0,พืชยืนต้น,กาแฟ
2018-01-19,ลำไย,ประเทศ,,29.5,29500.0,ไม้ผล,ลำไย
2018-01-19,หอมแดง,ประเทศ,,13.0,13000.0,พืชผัก,หอมแดง
2018-01-19,สุกร,ประเทศ,,48.0,48000.0,ปศุสัตว์,สุกร
2018-01-19,ไก่เนื้อ,ประเทศ,,38.47,38470.0,ปศุสัตว์,ไก่เนื้อ
2018-01-19,ไข่ไก่,ประเทศ,255.22,2.04176,2041.76,ปศุสัตว์,ไข่ไก่
2018-01-19,กุ้ง,ประเทศ,,177.24,177240.0,ประมง,กุ้ง
2018-01-26,ข้าวหอมมะลิ,ประเทศ,,13.95199,13951.99,พืชไร่,ข้าว
2018-01-26,ข้าวปทุมธานี,ประเทศ,,10.458,10458.0,พืชไร่,ข้าว
2018-01-26,ข้าวเจ้าอื่น,ประเทศ,,7.66,7660.0,พืชไร่,ข้าว
2018-01-26,ข้าวเหนียว,ประเทศ,,9.5,9500.0,พืชไร่,ข้าว
2018-01-26,ข้าวโพดเลี้ยงสัตว์,ประเทศ,,8.22,8220.0,พืชไร่,ข้าวโพดเลี้ยงสัตว์
2018-01-26,มันสำปะหลัง,ประเทศ,,2.06,2060.0,พืชไร่,มันสำปะหลัง
2018-01-26,สับปะรดโรงงาน,ประเทศ,,3.68,3680.0,พืชไร่,สับปะรดโรงงาน
2018-01-26,ปาล์มน้ำมัน,ประเทศ,,2.99,2990.0,พืชยืนต้น,ปาล์มน้ำมัน
2018-01-26,มะพร้าว,ประเทศ,1525.78,12.20624,12206.24,พืชยืนต้น,มะพร้าว
2018-01-26,ยางพารา,ประเทศ,,43.01,43010.0,พืชยืนต้น,ยางพารา
2018-01-26,กาแฟ,ประเทศ,,70.5,70500.0,พืชยืนต้น,กาแฟ
2018-01-26,ลำไย,ประเทศ,,29.5,29500.0,ไม้ผล,ลำไย
2018-01-26,หอมแดง,ประเทศ,,13.0,13000.0,พืชผัก,หอมแดง
2018-01-26,สุกร,ประเทศ,,48.26,48260.0,ปศุสัตว์,สุกร
2018-01-26,ไก่เนื้อ,ประเทศ,,38.56,38560.0,ปศุสัตว์,ไก่เนื้อ
2018-01-26,ไข่ไก่,ประเทศ,255.32,2.04256,2042.56,ปศุสัตว์,ไข่ไก่
2018-01-26,กุ้ง,ประเทศ,,178.63,178630.0,ประมง,กุ้ง
