date,commod_sub,place,area_harvest,area_plant,production,yeild_harvest,yield,yield_plant,commod_gr,commod
1993-12-31,กระเทียม,จังหวัดอื่นๆ,4688.0,4688.0,2780.0,1186.0,,1172.0,พืชผัก,กระเทียม
1989-12-31,กระเทียม,จังหวัดอื่นๆ(ภาคกลาง),31131.0,31135.0,15316.0,492.0,,489.0,พืชผัก,กระเทียม
1990-12-31,กระเทียม,จังหวัดอื่นๆ(ภาคกลาง),32819.0,32850.0,15899.0,484.4449861360797,,483.98782343987824,พืชผัก,กระเทียม
1991-12-31,กระเทียม,จังหวัดอื่นๆ(ภาคกลาง),28869.0,29214.0,17119.0,593.0,,586.0,พืชผัก,กระเทียม
1993-12-31,กระเทียม,ชัยภูมิ,1239.0,1272.0,555.0,448.0,,448.0,พืชผัก,กระเทียม
1994-12-31,กระเทียม,ชัยภูมิ,837.0,910.0,490.0,585.0,,538.0,พืชผัก,กระเทียม
1995-12-31,กระเทียม,ชัยภูมิ,998.0,998.0,545.0,546.0,,546.0,พืชผัก,กระเทียม
1996-12-31,กระเทียม,ชัยภูมิ,1007.0,1096.0,584.0,580.0,,533.0,พืชผัก,กระเทียม
1997-12-31,กระเทียม,ชัยภูมิ,1023.0,1046.0,507.0,496.0,,485.0,พืชผัก,กระเทียม
1998-12-31,กระเทียม,ชัยภูมิ,854.0,854.0,433.0,507.0,,507.0,พืชผัก,กระเทียม
2001-12-31,กระเทียม,ชัยภูมิ,1777.0,2028.0,2464.0,1386.6066404051774,,1215.0,พืชผัก,กระเทียม
2002-12-31,กระเทียม,ชัยภูมิ,1875.7369758576874,1895.0,2139.0,1140.3517804099024,,1129.0,พืชผัก,กระเทียม
2003-12-31,กระเทียม,ชัยภูมิ,1780.0,1837.0,1336.0,750.561797752809,,727.2727272727273,พืชผัก,กระเทียม
2004-12-31,กระเทียม,ชัยภูมิ,950.0,981.0,749.0,788.0,,764.0,พืชผัก,กระเทียม
2005-12-31,กระเทียม,ชัยภูมิ,757.0,780.0,590.0,779.0,,756.0,พืชผัก,กระเทียม
2006-12-31,กระเทียม,ชัยภูมิ,656.0,663.0,507.0,773.0,,764.0,พืชผัก,กระเทียม
2007-12-31,กระเทียม,ชัยภูมิ,592.0,597.0,464.0,783.0,,776.0,พืชผัก,กระเทียม
2008-12-31,กระเทียม,ชัยภูมิ,629.0,637.0,497.0,790.0,,780.0,พืชผัก,กระเทียม
2009-12-31,กระเทียม,ชัยภูมิ,562.0,592.0,429.0,763.0,,725.0,พืชผัก,กระเทียม
2010-12-31,กระเทียม,ชัยภูมิ,368.0,392.0,275.0,747.0,,702.0,พืชผัก,กระเทียม
2011-12-31,กระเทียม,ชัยภูมิ,350.0,352.0,273.856,782.0,,778.0,พืชผัก,กระเทียม
2012-12-31,กระเทียม,ชัยภูมิ,411.0,414.0,291.0,708.0,,703.0,พืชผัก,กระเทียม
2013-12-31,กระเทียม,ชัยภูมิ,312.0,327.0,223.0,715.0,,682.0,พืชผัก,กระเทียม
2014-12-31,กระเทียม,ชัยภูมิ,516.0,568.0,415.208,805.0,,731.0,พืชผัก,กระเทียม
2015-12-31,กระเทียม,ชัยภูมิ,213.0,251.0,183.0,859.0,,728.0,พืชผัก,กระเทียม
2016-12-31,กระเทียม,ชัยภูมิ,258.0,296.0,204.0,791.0,,689.0,พืชผัก,กระเทียม
2017-12-31,กระเทียม,ชัยภูมิ,165.0,176.0,132.0,800.0,,750.0,พืชผัก,กระเทียม
2018-12-31,กระเทียม,ชัยภูมิ,208.0,216.0,154.0,740.0,,713.0,พืชผัก,กระเทียม
1990-12-31,กระเทียม,ตาก,3567.0,3567.0,2144.0,601.0,,601.0,พืชผัก,กระเทียม
1991-12-31,กระเทียม,ตาก,2700.0,2700.0,1917.0,710.0,,710.0,พืชผัก,กระเทียม
1992-12-31,กระเทียม,ตาก,2854.0,2854.0,1333.0,467.0,,467.0,พืชผัก,กระเทียม
1993-12-31,กระเทียม,ตาก,2149.0,2205.0,1947.0,906.0,,883.0,พืชผัก,กระเทียม
1994-12-31,กระเทียม,ตาก,2368.0,2954.0,2340.0,988.0,,792.0,พืชผัก,กระเทียม
1995-12-31,กระเทียม,ตาก,2715.0,2751.0,2365.0,871.0,,860.0,พืชผัก,กระเทียม
1996-12-31,กระเทียม,ตาก,3093.0,3127.0,2756.0,891.0,,881.0,พืชผัก,กระเทียม
1997-12-31,กระเทียม,ตาก,3892.0,3935.0,3760.0,966.0,,955.0,พืชผัก,กระเทียม
1998-12-31,กระเทียม,ตาก,2841.0,2841.0,2324.0,818.0,,818.0,พืชผัก,กระเทียม
1999-12-31,กระเทียม,ตาก,2385.0,2437.0,1874.0,786.0,,769.0,พืชผัก,กระเทียม
2000-12-31,กระเทียม,ตาก,2718.0,2745.0,2309.0,850.0,,841.0,พืชผัก,กระเทียม
2001-12-31,กระเทียม,ตาก,2769.0,2769.0,2337.0,843.9869989165763,,844.0,พืชผัก,กระเทียม
2002-12-31,กระเทียม,ตาก,2544.7928942807625,2547.0,2152.0,845.6483845253042,,845.0,พืชผัก,กระเทียม
2003-12-31,กระเทียม,ตาก,2306.0,2329.0,1917.0,831.3096270598439,,823.1000429368828,พืชผัก,กระเทียม
2004-12-31,กระเทียม,ตาก,376.0,380.0,290.0,771.0,,763.0,พืชผัก,กระเทียม
2005-12-31,กระเทียม,ตาก,1513.0,1528.0,1523.0,1007.0,,997.0,พืชผัก,กระเทียม
2006-12-31,กระเทียม,ตาก,1566.0,1573.0,1540.0,983.0,,979.0,พืชผัก,กระเทียม
2007-12-31,กระเทียม,ตาก,1503.0,1512.0,1483.0,987.0,,981.0,พืชผัก,กระเทียม
2008-12-31,กระเทียม,ตาก,1840.0,1859.0,1815.0,986.0,,976.0,พืชผัก,กระเทียม
2009-12-31,กระเทียม,ตาก,1425.0,1447.0,1428.0,1002.0,,987.0,พืชผัก,กระเทียม
2010-12-31,กระเทียม,ตาก,1319.0,1335.0,1307.0,991.0,,979.0,พืชผัก,กระเทียม
2011-12-31,กระเทียม,ตาก,1440.0,1454.0,1456.908,1012.0,,1002.0,พืชผัก,กระเทียม
2012-12-31,กระเทียม,ตาก,1899.0,1919.0,1932.0,1017.0,,1007.0,พืชผัก,กระเทียม
2013-12-31,กระเทียม,ตาก,5427.0,5482.0,3994.0,736.0,,729.0,พืชผัก,กระเทียม
2014-12-31,กระเทียม,ตาก,4256.0,4276.0,3328.0,782.0,,778.0,พืชผัก,กระเทียม
2015-12-31,กระเทียม,ตาก,4292.0,4302.0,3223.0,751.0,,749.0,พืชผัก,กระเทียม
2016-12-31,กระเทียม,ตาก,4022.0,4022.0,3066.0,762.0,,762.0,พืชผัก,กระเทียม
2017-12-31,กระเทียม,ตาก,3370.0,3370.0,2526.0,750.0,,750.0,พืชผัก,กระเทียม
2018-12-31,กระเทียม,ตาก,4077.0,4087.0,2946.0,723.0,,721.0,พืชผัก,กระเทียม
1994-12-31,กระเทียม,นครพนม,1097.0,1097.0,409.0,373.0,,373.0,พืชผัก,กระเทียม
1995-12-31,กระเทียม,นครพนม,1261.0,1261.0,540.0,428.0,,428.0,พืชผัก,กระเทียม
1996-12-31,กระเทียม,นครพนม,1002.0,1013.0,481.0,480.0,,475.0,พืชผัก,กระเทียม
1997-12-31,กระเทียม,นครพนม,905.0,930.0,534.0,590.0,,574.0,พืชผัก,กระเทียม
1998-12-31,กระเทียม,นครพนม,604.0,604.0,274.0,454.0,,454.0,พืชผัก,กระเทียม
2008-12-31,กระเทียม,นครพนม,1121.0,1129.0,810.0,723.0,,717.0,พืชผัก,กระเทียม
2009-12-31,กระเทียม,นครพนม,679.0,690.0,487.0,717.0,,706.0,พืชผัก,กระเทียม
2010-12-31,กระเทียม,นครพนม,287.0,291.0,208.0,725.0,,715.0,พืชผัก,กระเทียม
2011-12-31,กระเทียม,นครพนม,98.0,101.0,73.023,745.0,,723.0,พืชผัก,กระเทียม
2012-12-31,กระเทียม,นครพนม,191.0,194.0,133.0,696.0,,686.0,พืชผัก,กระเทียม
2013-12-31,กระเทียม,นครพนม,174.0,177.0,119.0,684.0,,672.0,พืชผัก,กระเทียม
2014-12-31,กระเทียม,นครพนม,169.0,169.0,127.933,757.0,,757.0,พืชผัก,กระเทียม
2015-12-31,กระเทียม,นครพนม,146.0,146.0,109.0,747.0,,749.0,พืชผัก,กระเทียม
2016-12-31,กระเทียม,นครพนม,23.0,23.0,11.0,478.0,,478.0,พืชผัก,กระเทียม
2017-12-31,กระเทียม,นครพนม,78.0,88.0,38.0,487.0,,430.0,พืชผัก,กระเทียม
2018-12-31,กระเทียม,นครพนม,67.0,67.0,34.0,507.0,,507.0,พืชผัก,กระเทียม
1993-12-31,กระเทียม,นครราชสีมา,722.0,722.0,226.0,313.0,,313.0,พืชผัก,กระเทียม
1994-12-31,กระเทียม,นครราชสีมา,652.0,805.0,378.0,580.0,,470.0,พืชผัก,กระเทียม
1995-12-31,กระเทียม,นครราชสีมา,715.0,715.0,366.0,512.0,,512.0,พืชผัก,กระเทียม
1996-12-31,กระเทียม,นครราชสีมา,872.0,872.0,440.0,505.0,,504.58715596330273,พืชผัก,กระเทียม
1997-12-31,กระเทียม,นครราชสีมา,848.0,946.0,656.0,773.0,,693.0,พืชผัก,กระเทียม
1998-12-31,กระเทียม,นครราชสีมา,991.0,991.0,483.0,487.0,,487.0,พืชผัก,กระเทียม
2001-12-31,กระเทียม,นครราชสีมา,1080.0,1232.0,1379.0,1276.851851851852,,1120.0,พืชผัก,กระเทียม
2002-12-31,กระเทียม,นครราชสีมา,980.0,980.0,1173.0,1196.938775510204,,1197.0,พืชผัก,กระเทียม
2003-12-31,กระเทียม,นครราชสีมา,985.0,995.0,779.0,790.8629441624365,,782.9145728643216,พืชผัก,กระเทียม
2004-12-31,กระเทียม,นครราชสีมา,766.0,774.0,609.0,795.0,,787.0,พืชผัก,กระเทียม
2005-12-31,กระเทียม,นครราชสีมา,689.0,735.0,506.0,734.0,,688.0,พืชผัก,กระเทียม
2006-12-31,กระเทียม,นครราชสีมา,639.0,645.0,448.0,701.0,,694.0,พืชผัก,กระเทียม
2007-12-31,กระเทียม,นครราชสีมา,779.0,787.0,563.0,722.0,,715.0,พืชผัก,กระเทียม
2008-12-31,กระเทียม,นครราชสีมา,832.0,841.0,612.0,736.0,,728.0,พืชผัก,กระเทียม
2009-12-31,กระเทียม,นครราชสีมา,748.0,756.0,540.0,722.0,,714.0,พืชผัก,กระเทียม
2010-12-31,กระเทียม,นครราชสีมา,508.0,516.0,359.0,707.0,,696.0,พืชผัก,กระเทียม
2011-12-31,กระเทียม,นครราชสีมา,37.0,37.0,26.011,703.0,,703.0,พืชผัก,กระเทียม
2015-12-31,กระเทียม,นครราชสีมา,67.0,67.0,34.0,507.0,,511.0,พืชผัก,กระเทียม
2016-12-31,กระเทียม,นครราชสีมา,36.0,37.0,15.0,417.0,,405.0,พืชผัก,กระเทียม
2017-12-31,กระเทียม,นครราชสีมา,43.0,45.0,32.0,744.0,,711.0,พืชผัก,กระเทียม
2018-12-31,กระเทียม,นครราชสีมา,66.0,71.0,48.0,727.0,,676.0,พืชผัก,กระเทียม
1989-12-31,กระเทียม,น่าน,2331.0,2331.0,1289.0,553.0,,553.0,พืชผัก,กระเทียม
1990-12-31,กระเทียม,น่าน,2213.0,2213.0,954.0,431.0,,431.0,พืชผัก,กระเทียม
1991-12-31,กระเทียม,น่าน,2069.0,2079.0,993.0,480.0,,477.0,พืชผัก,กระเทียม
1992-12-31,กระเทียม,น่าน,2791.0,2791.0,1189.0,426.0,,426.0,พืชผัก,กระเทียม
1993-12-31,กระเทียม,น่าน,2482.0,2482.0,871.0,351.0,,351.0,พืชผัก,กระเทียม
1994-12-31,กระเทียม,น่าน,2512.0,2563.0,1296.0,516.0,,506.0,พืชผัก,กระเทียม
1995-12-31,กระเทียม,น่าน,2577.0,2594.0,1227.0,476.0,,473.0,พืชผัก,กระเทียม
1996-12-31,กระเทียม,น่าน,2688.0,2688.0,1449.0,539.0,,539.0,พืชผัก,กระเทียม
1997-12-31,กระเทียม,น่าน,2800.0,2816.0,1596.0,570.0,,567.0,พืชผัก,กระเทียม
1998-12-31,กระเทียม,น่าน,1487.0,1487.0,870.0,585.0,,585.0,พืชผัก,กระเทียม
1999-12-31,กระเทียม,น่าน,1496.0,1496.0,1183.0,791.0,,791.0,พืชผัก,กระเทียม
2000-12-31,กระเทียม,น่าน,1768.0,1768.0,1155.0,653.0,,653.0,พืชผัก,กระเทียม
2001-12-31,กระเทียม,น่าน,1852.0,1877.0,1239.0,669.0064794816415,,660.0,พืชผัก,กระเทียม
2002-12-31,กระเทียม,น่าน,1868.8614072494668,1889.0,1262.0,675.2774684653439,,668.0,พืชผัก,กระเทียม
2003-12-31,กระเทียม,น่าน,1795.0,1835.0,1231.0,685.7938718662953,,670.8446866485014,พืชผัก,กระเทียม
2004-12-31,กระเทียม,น่าน,540.0,547.0,392.0,726.0,,717.0,พืชผัก,กระเทียม
2005-12-31,กระเทียม,น่าน,1258.0,1284.0,835.0,664.0,,650.0,พืชผัก,กระเทียม
2006-12-31,กระเทียม,น่าน,1143.0,1155.0,735.0,643.0,,636.0,พืชผัก,กระเทียม
2007-12-31,กระเทียม,น่าน,824.0,832.0,537.0,651.0,,645.0,พืชผัก,กระเทียม
2008-12-31,กระเทียม,น่าน,1041.0,1052.0,686.0,659.0,,652.0,พืชผัก,กระเทียม
2009-12-31,กระเทียม,น่าน,959.0,974.0,640.0,667.0,,657.0,พืชผัก,กระเทียม
2010-12-31,กระเทียม,น่าน,851.0,863.0,557.0,655.0,,645.0,พืชผัก,กระเทียม
2011-12-31,กระเทียม,น่าน,864.0,877.0,560.403,649.0,,639.0,พืชผัก,กระเทียม
2012-12-31,กระเทียม,น่าน,1599.0,1623.0,1052.0,658.0,,648.0,พืชผัก,กระเทียม
2013-12-31,กระเทียม,น่าน,1147.0,1157.0,629.0,548.0,,544.0,พืชผัก,กระเทียม
2014-12-31,กระเทียม,น่าน,670.0,670.0,397.0,593.0,,593.0,พืชผัก,กระเทียม
2015-12-31,กระเทียม,น่าน,596.0,596.0,347.0,582.0,,582.0,พืชผัก,กระเทียม
2016-12-31,กระเทียม,น่าน,487.0,487.0,288.3,592.0,,592.0,พืชผัก,กระเทียม
2017-12-31,กระเทียม,น่าน,893.0,893.0,518.0,580.0,,580.0,พืชผัก,กระเทียม
2018-12-31,กระเทียม,น่าน,871.0,872.0,494.0,567.0,,567.0,พืชผัก,กระเทียม
1993-12-31,กระเทียม,บุรีรัมย์,714.0,732.0,588.0,824.0,,824.0,พืชผัก,กระเทียม
1995-12-31,กระเทียม,บุรีรัมย์,323.0,337.0,171.0,529.0,,507.0,พืชผัก,กระเทียม
1996-12-31,กระเทียม,บุรีรัมย์,285.0,363.0,193.0,677.0,,532.0,พืชผัก,กระเทียม
1997-12-31,กระเทียม,บุรีรัมย์,395.0,395.0,221.0,560.0,,560.0,พืชผัก,กระเทียม
1989-12-31,กระเทียม,พะเยา,20289.0,20299.0,9820.0,484.0,,484.0,พืชผัก,กระเทียม
1990-12-31,กระเทียม,พะเยา,12316.0,12316.0,5407.0,439.0,,439.0,พืชผัก,กระเทียม
1991-12-31,กระเทียม,พะเยา,10197.0,10197.0,4140.0,406.0,,406.0,พืชผัก,กระเทียม
1992-12-31,กระเทียม,พะเยา,10991.0,10991.0,5232.0,476.0,,476.0,พืชผัก,กระเทียม
1993-12-31,กระเทียม,พะเยา,10531.0,10732.0,5318.0,505.0,,496.0,พืชผัก,กระเทียม
1994-12-31,กระเทียม,พะเยา,10425.0,10747.0,6130.0,588.0,,570.0,พืชผัก,กระเทียม
1995-12-31,กระเทียม,พะเยา,10406.0,10497.0,6233.0,599.0,,594.0,พืชผัก,กระเทียม
1996-12-31,กระเทียม,พะเยา,10693.0,10931.0,6587.0,616.0,,603.0,พืชผัก,กระเทียม
1997-12-31,กระเทียม,พะเยา,9766.0,9812.0,5996.0,614.0,,611.0,พืชผัก,กระเทียม
1998-12-31,กระเทียม,พะเยา,10554.0,10676.0,5947.0,563.0,,557.0,พืชผัก,กระเทียม
1999-12-31,กระเทียม,พะเยา,8933.0,8935.0,6013.0,673.0,,673.0,พืชผัก,กระเทียม
2000-12-31,กระเทียม,พะเยา,9867.0,9967.0,7246.0,734.0,,727.0,พืชผัก,กระเทียม
2001-12-31,กระเทียม,พะเยา,12310.0,12349.0,8669.0,704.2242079610072,,702.0,พืชผัก,กระเทียม
2002-12-31,กระเทียม,พะเยา,14218.404916593503,14266.0,10200.0,717.3800478910368,,715.0,พืชผัก,กระเทียม
2003-12-31,กระเทียม,พะเยา,13151.0,13254.0,8642.0,657.1363394418676,,652.0295759770636,พืชผัก,กระเทียม
2004-12-31,กระเทียม,พะเยา,10706.0,10789.0,8502.0,794.0,,788.0,พืชผัก,กระเทียม
2005-12-31,กระเทียม,พะเยา,11126.0,11182.0,8927.0,802.0,,798.0,พืชผัก,กระเทียม
2006-12-31,กระเทียม,พะเยา,10912.0,11022.0,8421.0,772.0,,764.0,พืชผัก,กระเทียม
2007-12-31,กระเทียม,พะเยา,9069.0,9161.0,7100.0,783.0,,775.0,พืชผัก,กระเทียม
2008-12-31,กระเทียม,พะเยา,13466.0,13657.0,10625.0,789.0,,778.0,พืชผัก,กระเทียม
2009-12-31,กระเทียม,พะเยา,9433.0,9577.0,7518.0,797.0,,785.0,พืชผัก,กระเทียม
2010-12-31,กระเทียม,พะเยา,9619.0,9765.0,7568.0,787.0,,775.0,พืชผัก,กระเทียม
2011-12-31,กระเทียม,พะเยา,10274.0,10537.0,7997.583,778.0,,759.0,พืชผัก,กระเทียม
2012-12-31,กระเทียม,พะเยา,12874.0,13070.0,9803.0,761.0,,750.0,พืชผัก,กระเทียม
2013-12-31,กระเทียม,พะเยา,12734.0,13859.0,6541.0,514.0,,472.0,พืชผัก,กระเทียม
2014-12-31,กระเทียม,พะเยา,12021.0,12205.0,7188.745,598.0,,589.0,พืชผัก,กระเทียม
2015-12-31,กระเทียม,พะเยา,7780.0,7853.0,5158.0,663.0,,657.0,พืชผัก,กระเทียม
2016-12-31,กระเทียม,พะเยา,6455.0,6455.0,3367.0,522.0,,522.0,พืชผัก,กระเทียม
2017-12-31,กระเทียม,พะเยา,6436.0,7012.0,4884.0,759.0,,696.0,พืชผัก,กระเทียม
2018-12-31,กระเทียม,พะเยา,6175.0,6176.0,4680.0,758.0,,758.0,พืชผัก,กระเทียม
1989-12-31,กระเทียม,ภาคกลาง,31131.0,31135.0,15316.0,492.0,,492.0,พืชผัก,กระเทียม
1990-12-31,กระเทียม,ภาคกลาง,32819.0,32850.0,15899.0,484.4449861360797,,483.98782343987824,พืชผัก,กระเทียม
1991-12-31,กระเทียม,ภาคกลาง,28869.0,29214.0,17119.0,593.0,,586.0,พืชผัก,กระเทียม
1993-12-31,กระเทียม,ภาคกลาง,244.0,244.0,109.0,447.0,,447.0,พืชผัก,กระเทียม
1996-12-31,กระเทียม,ภาคกลาง,639.0,639.0,571.0,894.0,,894.0,พืชผัก,กระเทียม
1997-12-31,กระเทียม,ภาคกลาง,1099.0,1099.0,810.0,737.0,,737.0,พืชผัก,กระเทียม
1998-12-31,กระเทียม,ภาคกลาง,609.0,609.0,454.0,745.0,,745.0,พืชผัก,กระเทียม
1999-12-31,กระเทียม,ภาคกลาง,512.0,512.0,393.0,768.0,,768.0,พืชผัก,กระเทียม
2000-12-31,กระเทียม,ภาคกลาง,541.0,546.0,410.0,757.8558225508318,,750.9157509157509,พืชผัก,กระเทียม
2001-12-31,กระเทียม,ภาคกลาง,646.0,652.0,484.0,749.2260061919504,,742.0,พืชผัก,กระเทียม
2002-12-31,กระเทียม,ภาคกลาง,617.0,617.0,463.0,750.4051863857374,,750.0,พืชผัก,กระเทียม
2003-12-31,กระเทียม,ภาคกลาง,567.0,587.0,411.0,724.8677248677249,,700.1703577512777,พืชผัก,กระเทียม
2004-12-31,กระเทียม,ภาคกลาง,425.0,429.0,315.0,741.0,,734.0,พืชผัก,กระเทียม
2005-12-31,กระเทียม,ภาคกลาง,409.0,416.0,307.0,751.0,,738.0,พืชผัก,กระเทียม
1989-12-31,กระเทียม,ภาคตะวันออกเฉียงเหนือ,6435.0,6441.0,3134.0,487.0,,487.0,พืชผัก,กระเทียม
1990-12-31,กระเทียม,ภาคตะวันออกเฉียงเหนือ,5820.0,5919.0,3563.0,612.1993127147766,,601.9597905051529,พืชผัก,กระเทียม
1991-12-31,กระเทียม,ภาคตะวันออกเฉียงเหนือ,4841.0,4881.0,2677.0,553.0,,548.0,พืชผัก,กระเทียม
1992-12-31,กระเทียม,ภาคตะวันออกเฉียงเหนือ,4705.0,4705.0,3082.0,655.0,,655.0,พืชผัก,กระเทียม
1993-12-31,กระเทียม,ภาคตะวันออกเฉียงเหนือ,7056.0,7271.0,4383.0,621.0,,603.0,พืชผัก,กระเทียม
1994-12-31,กระเทียม,ภาคตะวันออกเฉียงเหนือ,7283.0,7605.0,4161.0,571.3304956748593,,547.1400394477317,พืชผัก,กระเทียม
1995-12-31,กระเทียม,ภาคตะวันออกเฉียงเหนือ,8177.0,8305.0,4989.0,610.1259630671395,,600.7224563515954,พืชผัก,กระเทียม
1996-12-31,กระเทียม,ภาคตะวันออกเฉียงเหนือ,8880.0,9304.0,5503.0,620.0,,591.0,พืชผัก,กระเทียม
1997-12-31,กระเทียม,ภาคตะวันออกเฉียงเหนือ,9263.0,9462.0,7066.0,763.0,,747.0,พืชผัก,กระเทียม
1998-12-31,กระเทียม,ภาคตะวันออกเฉียงเหนือ,6435.0,7427.0,4476.0,696.0,,603.0,พืชผัก,กระเทียม
1999-12-31,กระเทียม,ภาคตะวันออกเฉียงเหนือ,3832.0,4129.0,2758.0,720.0,,668.0,พืชผัก,กระเทียม
2000-12-31,กระเทียม,ภาคตะวันออกเฉียงเหนือ,3523.0,3871.0,2996.0,850.4115810388873,,773.9602169981918,พืชผัก,กระเทียม
2001-12-31,กระเทียม,ภาคตะวันออกเฉียงเหนือ,7628.0,8706.0,8102.0,1062.139486103828,,930.622559154606,พืชผัก,กระเทียม
2002-12-31,กระเทียม,ภาคตะวันออกเฉียงเหนือ,8486.883215412005,8514.0,7648.0,901.1553247382254,,898.0,พืชผัก,กระเทียม
2003-12-31,กระเทียม,ภาคตะวันออกเฉียงเหนือ,7460.0,7538.0,5503.0,737.6675603217158,,730.0344919076678,พืชผัก,กระเทียม
2004-12-31,กระเทียม,ภาคตะวันออกเฉียงเหนือ,5584.0,5635.0,4586.0,821.0,,814.0,พืชผัก,กระเทียม
2005-12-31,กระเทียม,ภาคตะวันออกเฉียงเหนือ,4734.0,5007.0,3546.0,749.0,,708.0,พืชผัก,กระเทียม
2006-12-31,กระเทียม,ภาคตะวันออกเฉียงเหนือ,3048.0,3079.0,2212.0,726.0,,718.0,พืชผัก,กระเทียม
2007-12-31,กระเทียม,ภาคตะวันออกเฉียงเหนือ,3233.0,3265.0,2396.0,741.0,,734.0,พืชผัก,กระเทียม
2008-12-31,กระเทียม,ภาคตะวันออกเฉียงเหนือ,4544.0,4591.0,3375.0,743.0,,735.0,พืชผัก,กระเทียม
2009-12-31,กระเทียม,ภาคตะวันออกเฉียงเหนือ,3458.0,3581.0,2660.0,769.0,,743.0,พืชผัก,กระเทียม
2010-12-31,กระเทียม,ภาคตะวันออกเฉียงเหนือ,2105.0,2155.0,1558.0,740.0,,723.0,พืชผัก,กระเทียม
2011-12-31,กระเทียม,ภาคตะวันออกเฉียงเหนือ,1134.0,1150.0,873.17,770.0,,759.0,พืชผัก,กระเทียม
2012-12-31,กระเทียม,ภาคตะวันออกเฉียงเหนือ,866.0,879.0,632.0,730.0,,719.0,พืชผัก,กระเทียม
2013-12-31,กระเทียม,ภาคตะวันออกเฉียงเหนือ,579.0,658.0,417.0,720.0,,634.0,พืชผัก,กระเทียม
2014-12-31,กระเทียม,ภาคตะวันออกเฉียงเหนือ,788.0,851.0,630.123,800.0,,740.0,พืชผัก,กระเทียม
2015-12-31,กระเทียม,ภาคตะวันออกเฉียงเหนือ,553.0,591.0,422.0,763.0,,714.0,พืชผัก,กระเทียม
2016-12-31,กระเทียม,ภาคตะวันออกเฉียงเหนือ,420.0,470.0,294.0,701.0,,626.0,พืชผัก,กระเทียม
2017-12-31,กระเทียม,ภาคตะวันออกเฉียงเหนือ,828.0,851.0,529.0,639.0,,621.0,พืชผัก,กระเทียม
2018-12-31,กระเทียม,ภาคตะวันออกเฉียงเหนือ,919.0,932.0,745.0,811.0,,799.0,พืชผัก,กระเทียม
1989-12-31,กระเทียม,ภาคเหนือ,195642.0,195835.0,115242.0,589.0,,588.0,พืชผัก,กระเทียม
