date,crop_year,commod_sub,round,place,production,percent,commod_gr,commod
1989-01-31,2531/32,สับปะรดโรงงาน,ทั้งปี,ประเทศ,162696.0,8.11,พืชไร่,สับปะรดโรงงาน
1989-02-28,2531/32,สับปะรดโรงงาน,ทั้งปี,ประเทศ,253836.0,12.66,พืชไร่,สับปะรดโรงงาน
1989-03-31,2531/32,สับปะรดโรงงาน,ทั้งปี,ประเทศ,272109.0,13.57,พืชไร่,สับปะรดโรงงาน
1989-04-30,2531/32,สับปะรดโรงงาน,ทั้งปี,ประเทศ,292343.0,14.58,พืชไร่,สับปะรดโรงงาน
1989-05-31,2531/32,สับปะรดโรงงาน,ทั้งปี,ประเทศ,235715.0,11.75,พืชไร่,สับปะรดโรงงาน
1989-06-30,2531/32,สับปะรดโรงงาน,ทั้งปี,ประเทศ,140789.0,7.02,พืชไร่,สับปะรดโรงงาน
1989-06-30,2532/33,ข้าวโพดเลี้ยงสัตว์,ทั้งปี,ประเทศ,9664.0,0.22,พืชไร่,ข้าวโพดเลี้ยงสัตว์
1989-07-31,2531/32,สับปะรดโรงงาน,ทั้งปี,ประเทศ,101022.0,5.04,พืชไร่,สับปะรดโรงงาน
1989-07-31,2532/33,ข้าวโพดเลี้ยงสัตว์,ทั้งปี,ประเทศ,193713.0,4.41,พืชไร่,ข้าวโพดเลี้ยงสัตว์
1989-08-31,2531/32,สับปะรดโรงงาน,ทั้งปี,ประเทศ,100242.0,5.0,พืชไร่,สับปะรดโรงงาน
1989-08-31,2532/33,ข้าวโพดเลี้ยงสัตว์,ทั้งปี,ประเทศ,1284389.0,29.24,พืชไร่,ข้าวโพดเลี้ยงสัตว์
1989-09-30,2531/32,สับปะรดโรงงาน,ทั้งปี,ประเทศ,134414.0,6.7,พืชไร่,สับปะรดโรงงาน
1989-09-30,2532/33,ข้าวโพดเลี้ยงสัตว์,ทั้งปี,ประเทศ,2080765.0,47.37,พืชไร่,ข้าวโพดเลี้ยงสัตว์
1989-10-31,2531/32,สับปะรดโรงงาน,ทั้งปี,ประเทศ,97675.0,4.87,พืชไร่,สับปะรดโรงงาน
1989-10-31,2532/33,ข้าวโพดเลี้ยงสัตว์,ทั้งปี,ประเทศ,285518.0,6.5,พืชไร่,ข้าวโพดเลี้ยงสัตว์
1989-11-30,2531/32,สับปะรดโรงงาน,ทั้งปี,ประเทศ,158612.0,7.91,พืชไร่,สับปะรดโรงงาน
1989-11-30,2532/33,ข้าวโพดเลี้ยงสัตว์,ทั้งปี,ประเทศ,88291.0,2.01,พืชไร่,ข้าวโพดเลี้ยงสัตว์
1989-11-30,2532/33,กระเทียม,ทั้งปี,ประเทศ,0.0,0.0,พืชผัก,กระเทียม
1989-12-31,2531/32,สับปะรดโรงงาน,ทั้งปี,ประเทศ,55937.0,2.79,พืชไร่,สับปะรดโรงงาน
1989-12-31,2532/33,ข้าวโพดเลี้ยงสัตว์,ทั้งปี,ประเทศ,269704.0,6.14,พืชไร่,ข้าวโพดเลี้ยงสัตว์
1989-12-31,2532/33,กระเทียม,ทั้งปี,ประเทศ,1952.74,1.76,พืชผัก,กระเทียม
1990-01-31,2532/33,ข้าวโพดเลี้ยงสัตว์,ทั้งปี,ประเทศ,161647.0,3.68,พืชไร่,ข้าวโพดเลี้ยงสัตว์
1990-01-31,2532/33,สับปะรดโรงงาน,ทั้งปี,ประเทศ,141319.0,7.58,พืชไร่,สับปะรดโรงงาน
1990-01-31,2532/33,กระเทียม,ทั้งปี,ประเทศ,3539.34,3.19,พืชผัก,กระเทียม
1990-02-28,2532/33,ข้าวโพดเลี้ยงสัตว์,ทั้งปี,ประเทศ,13178.0,0.3,พืชไร่,ข้าวโพดเลี้ยงสัตว์
1990-02-28,2532/33,สับปะรดโรงงาน,ทั้งปี,ประเทศ,242869.0,13.02,พืชไร่,สับปะรดโรงงาน
1990-02-28,2532/33,กระเทียม,ทั้งปี,ประเทศ,16132.28,14.54,พืชผัก,กระเทียม
