hscode,name
1006100102,ข้าวเปลือกเจ้า
1006200104,ข้าวกล้องอื่นๆ 100 %
1006200205,ข้าวกล้องอื่นๆ 5%
1006200306,ข้าวกล้องอื่นๆ 10 %
1006200407,ข้าวกล้องอื่นๆ 15 %
1006200800,ข้าวกล้องนึ่ง
1006200901,ข้าวกล้องมิได้ระบุไว้ที่อื่น
1006300119,ข้าวเจ้าขาวอื่น 100 %
1006300121,ข้าวเจ้าขาวอื่น 5 %
1006300134,ข้าวเจ้าขาวอื่น 10 %
1006300147,ข้าวเจ้าขาวอื่นๆ 15 %
1006300154,ข้าวเจ้าขาว 20 %
1006300162,ข้าวเจ้าขาว 25 %
1006300188,ข้าวเจ้าขาว 35 %
1006300190,ข้าวเจ้าขาว 40 %
1006300214,ข้าวเจ้าขาวชนิดที่เคลือบวิตามิน
1006300222,ข้าวนึ่ง
1006300235,ข้าวเสบียงเรือ
1006300291,ข้าวเจ้าที่สีมาบ้างหรือสีทั้งหมด * มิได้ระบุไว้ที่อื่น
1006300310,ข้าวเหนียว 100 %
1006300323,ข้าวเหนียว 5 %
1006300336,ข้าวเหนียว 10 %
1006300364,ข้าวเหนียว 25 %
1006300384,ข้าวเหนียว 35 %
1006300493,ข้าวเหนียวที่สีมาบ้างหรือสีทั้งหมด มิได้ระบุไว้ที่อื่น
1006400035,ปลายข้าวเจ้าขาวอื่นๆ เอ 1 ชนิดพิเศษ
1006400048,ปลายข้าวเจ้าขาวอื่น เอ เลิศ
1006400050,ปลายข้าวเจ้าขาว เอ พิเศษ
1006400063,ปลายข้าวเจ้าขาว เอ 1 ธรรมดา
1006400123,ปลายข้าวนึ่ง
1006400192,ปลายข้าวเจ้าที่มิได้ระบุไว้ที่อื่น
1006400209,ปลายข้าวเหนียวที่มิได้ระบุไว้ที่อื่น
1006200609,ข้าวกล้อง 25 %
1006300207,ข้าวเจ้าขาว 45 %
1006300349,ข้าวเหนียว 15 %
1006400014,ปลายข้าวกล้อง
1006400022,ปลายข้าวกล้องนึ่ง
1006400091,ปลายข้าวเจ้าขาว ซี 1 ธรรมดา
1006200101,ข้าวกล้องหอมมะลิไทย 100% ชั้น 1
1006300110,ข้าวเจ้าขาวหอมมะลิไทย 100% ชั้น 1
1006300111,ข้าวเจ้าขาวหอมมะลิไทย 100% ชั้น 2
1006300112,ข้าวเจ้าขาวหอมมะลิไทย 100% ชั้น 3
1006300120,ข้าวเจ้าขาวหอมมะลิไทย 5%
1006300130,ข้าวเจ้าขาวหอมมะลิไทย 10%
1006400030,ปลายข้าวเจ้าขาวหอมมะลิ เอ 1 เลิศพิเศษ
1006400040,ปลายข้าวเจ้าขาวหอมมะลิ เอ 1 เลศ
1006200102,ข้าวกล้องหอมมะลิไทย 100% ชั้น 2
1006200103,ข้าวกล้องหอมมะลิไทย 100% ชั้น 3
1006200300,ข้าวกล้องหอมมะลิไทย 10%
1006200508,ข้าวกล้อง 20 %
1006300140,ข้าวเจ้าขาวหอมมะลิไทย 15%
1006400108,ปลายข้าวเจ้าขาว ซี 3 พิเศษ
1006400110,ปลายข้าวเจ้าขาว ซี 3 ธรรมดา
1006200200,ข้าวกล้องหอมมะลิไทย 5%
1006200400,ข้าวกล้องหอมมะลิไทย 15%
1006300113,ข้าวเจ้าขาวอื่น  100%  ชั้น 1
1006300114,ข้าวเจ้าขาวอื่น 100% ชั้น 2
1006300115,ข้าวเจ้าขาวอื่น 100% ชั้น 3
1006300116,ข้าวเจ้าขาวญี่ปุ่น 100%
1006100203,ข้าวเปลือกเหนียว
1006200080,ข้าวกล้องหอมปทุมธานี 100% ชั้นดีเลิศ
1006200081,ข้าวกล้องหอมปทุมธานี 100% ชั้นดีพิเศษ
1006300080,ข้าวเจ้าขาวหอมปทุมธานี 100% ชั้นดีเลิศ
1006300081,ข้าวเจ้าขาวหอมปทุมธานี 100% ชั้นดีพิเศษ
1006300083,ข้าวเจ้าขาวหอมปทุมธานี 5% ชั้นดีพิเศษ
1006300087,ข้าวเจ้าขาวหอมปทุมธานี 15% ชั้นดีเลิศพิเศษ
1006300123,ข้าวเจ้าขาวญี่ปุ่น 5%
1006400081,ปลายข้าวเจ้าขาวหอมปทุมธานี เอวันเลิศพิเศษ ชั้นดีพิเศษ
1006400082,ปลายข้าวเจ้าขาวหอมปทุมธานี เอวันเลิศ ชั้นดีเลิศ
1006200087,ข้าวกล้องหอมปทุมธานี 15% ชั้นดีพิเศษ
1006300085,ข้าวเจ้าขาวหอมปทุมธานี 10% ชั้นดีเลิศพิเศิษ
1006400083,ปลายข้าวเจ้าขาวหอมปทุมธานี เอวันเลิศ ชั้นดีพิเศษ
